Grüne	CDU	AfD	SPD	FDP	Linke	FW	Piraten	ÖDP	Klima	PARTEI	Tierschutz	Volt
1	1	-1	0	-1	1	0	1	1	1	1	1	1
1	0	0	1	1	1	1	1	-1	1	1	-1	1
1	1	-1	1	1	1	0	1	1	1	1	1	1
-1	1	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0	1	1	1	1	-1	1	1	-1	-1	0	-1	1
1	-1	1	0	-1	1	1	1	1	-1	-1	1	-1
1	-1	-1	1	1	1	-1	1	1	1	1	1	1
-1	1	1	-1	1	-1	1	-1	-1	-1	-1	-1	-1
0	1	1	1	1	-1	1	1	1	1	1	1	1
1	-1	-1	-1	0	1	0	1	1	1	1	1	1
1	-1	1	0	-1	1	1	1	1	1	1	1	-1
-1	-1	1	-1	1	0	1	-1	-1	-1	0	-1	1
-1	1	1	0	-1	1	1	1	-1	-1	1	1	-1
0	-1	0	-1	-1	1	1	1	-1	1	1	1	1
-1	1	1	0	1	1	1	-1	-1	-1	-1	-1	-1
-1	0	1	0	-1	1	1	1	1	1	1	1	1
1	1	1	1	1	-1	1	-1	-1	1	-1	-1	1
1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	-1	-1
1	0	-1	1	0	1	-1	1	0	1	1	1	1
-1	1	-1	-1	1	1	1	1	-1	-1	-1	-1	1
1	-1	1	0	-1	1	-1	1	1	1	1	1	-1
1	-1	-1	1	-1	1	-1	1	-1	1	1	1	1
-1	1	1	1	1	-1	1	-1	-1	-1	-1	-1	1
1	-1	-1	-1	-1	1	-1	1	1	1	1	1	1
-1	1	1	0	1	-1	1	-1	1	-1	-1	-1	-1
-1	-1	0	-1	-1	1	-1	1	-1	-1	1	-1	-1
1	-1	-1	-1	-1	1	1	1	1	1	1	1	1
-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1	0	1	0	-1	-1	-1	-1	1	-1	0	1	-1
1	-1	-1	1	-1	1	0	1	1	1	1	1	1
-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	1
1	1	-1	1	-1	1	0	1	-1	1	1	1	1
0	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1
-1	1	-1	0	-1	1	1	1	1	1	1	1	1
-1	1	1	1	-1	-1	1	-1	1	-1	-1	-1	-1
1	1	1	1	0	-1	1	0	1	1	1	-1	1
-1	-1	-1	-1	0	-1	0	-1	-1	-1	-1	-1	1
1	-1	-1	1	-1	1	-1	1	1	1	1	1	1
