Nr.	Standpunkt
1	Kostenlose Endgeräte
2	Verbrennungsmotoren
3	Mietpreisbremse
4	Krankenhäuser in öffentlicher Hand
5	Bodycams
6	Fünfprozenthürde
7	Tempolimit
8	Hartz IV Sanktionen
9	Windkraft Abstand
10	Frauenquote
11	Religionsunterricht
12	Freiwillige Polizei
13	Kostenloser ÖPNV
14	Gemeinschaftschulen
15	Schutzstatus Geflüchtete
16	Ausbildungsplatzabgabe
17	Ökologische Landwirtschaft
18	Kinderbetreuungsprämie
19	Schiene vor Straße
20	Kostenlose Deutschkurse
21	Digitalisierungsministerium
22	Cannabis
23	Kostenloses Schulessen
24	Zweitstimmen
25	Photovoltaikpflicht
26	Verbindliche Schulempfehlung
27	Querdenker beobachten
28	Studiengebühr Ausländer
29	Klimaverträgliche Gesetze
30	Personenkontrollen
31	Recht auf Homeoffice
32	Förderschulen
33	Finanzierung Coronahilfen
34	Ausländische Pflegekräfte
35	5G Netz
36	Wahlalter
37	Kameras in Schlachthöfen
38	Innerdeutsche Flüge
