Nr.	Standpunkt
1	Ökologischer Weinbau
2	Digitale Endgeräte
3	Windkraftanlagen
4	Kontaktlisten
5	Mittelrheintalbrücke
6	Robotersteuer
7	Wahlalter
8	Mietpreisbremse
9	Förderschulen
10	Fahrradwege
11	Karenzzeit
12	Schottergärten
13	Überschuldung
14	Ethikunterricht
15	Wolfsjagd
16	Häusliche Pflege
17	Hochschulkooperation
18	Straßenausbaubeiträge
19	Flüchtlinge
20	Zentralabitur
21	Nutztierhaltung
22	Homeoffice
23	Bundeswehr an Schulen
24	Schiene vor Straße
25	ALG II Kürzung
26	Landesverfassungsschutz
27	Einstiegsgehalt von Lehrkräften
28	Grenzkontrollen
29	Kinderbetreuung
30	Mindestlohn
31	Infektionsschutz durch Bund
32	Frauenquote
33	Schuldenbremse
34	Kostenfreies Mittagessen
35	Tanzverbot
36	Ehrenamtliche Bürgermeister
37	Verkaufsoffene Sonntage
38	US Atomwaffen
